########## LOG ##########
24/04/2022; 21:03; 0.0.0.0; Sabrina; 127.0.0.1 55954; ; Servidor; login
24/04/2022; 21:02; 0.0.0.0; Sabrina; 127.0.0.1 55952; ; Todos clientes; logout
24/04/2022; 21:02; 0.0.0.0; Sabrina; 127.0.0.1 55952; ; Servidor; login
24/04/2022; 21:02; 0.0.0.0; marcos; 127.0.0.1 55747; ; Todos clientes; logout
24/04/2022; 21:02; 0.0.0.0; marcos; 127.0.0.1 55747; ; Todos clientes; Teste
24/04/2022; 21:02; 0.0.0.0; marcos; 127.0.0.1 55747; 127.0.0.1; Tio lu; Oi tio lu
24/04/2022; 21:01; 0.0.0.0; marcos; 127.0.0.1 55747; ; Todos clientes; Mensagem para todos
24/04/2022; 21:01; 0.0.0.0; Ze; 127.0.0.1 55750; ; Servidor; login
24/04/2022; 21:01; 0.0.0.0; Tio lu; 127.0.0.1 55748; ; Servidor; login
24/04/2022; 21:00; 0.0.0.0; marcos; 127.0.0.1 55747; ; Servidor; login

